#,License Plate,Created At,Pickup Date,Return Date,Total Days,Odometer at Pickup,Odometer at Return
9483,A20261,06/28/2021 ,02/06/2022 ,02/14/2022 ,8,993.0,1166.0
11460,a11002,07/09/2021 ,05/08/2022 ,05/08/2022 ,0,20002.0,20003.0
11461,abcc-52,07/09/2021 ,05/08/2022 ,05/08/2022 ,0,2960.0,2961.0
11462,a11005,07/09/2021 ,05/08/2022 ,05/08/2022 ,0,10000.0,10001.0
13204,A18128,07/19/2021 ,05/22/2022 ,05/23/2022 ,1,2846.0,2877.0
13205,A17577,07/19/2021 ,05/22/2022 ,05/22/2022 ,0,4413.0,4487.0
13206,A17987,07/19/2021 ,05/22/2022 ,05/22/2022 ,0,1335.0,1365.0
13207,A19407,07/19/2021 ,05/22/2022 ,05/23/2022 ,1,6969.0,6972.0
15774,a11005,08/03/2021 ,01/09/2022 ,01/09/2022 ,0,8360.0,8380.0
15775,A19027,08/03/2021 ,01/09/2022 ,01/09/2022 ,0,12160.0,12180.0
16010,A19408,08/05/2021 ,02/12/2022 ,02/13/2022 ,1,5860.0,5899.0
16011,A17878,08/05/2021 ,02/12/2022 ,02/13/2022 ,1,1033.0,1069.0
23094,abc8120,09/25/2021 ,02/13/2022 ,02/13/2022 ,0,11594.0,11595.0
23632,a15291,10/01/2021 ,01/02/2022 ,01/06/2022 ,4,5453.0,5549.0
23759,A19424,10/03/2021 ,02/15/2022 ,02/15/2022 ,0,7703.0,7744.0
23760,A17396,10/03/2021 ,02/15/2022 ,02/15/2022 ,0,6185.0,6229.0
25689,A20261,10/22/2021 ,04/07/2022 ,04/07/2022 ,0,3400.0,3402.0
25690,A20519,10/22/2021 ,04/07/2022 ,04/07/2022 ,0,1963.0,1965.0
25806,A17008,10/23/2021 ,01/20/2022 ,01/24/2022 ,4,5556.0,5569.0
26246,462xpu,10/28/2021 ,04/13/2022 ,04/13/2022 ,0,11600.0,11600.0
26272,A19401,10/28/2021 ,01/11/2022 ,01/17/2022 ,6,9589.0,9678.0
27056,A19109,11/05/2021 ,12/27/2021 ,01/02/2022 ,6,9244.0,9320.0
27175,A15644,11/06/2021 ,02/02/2022 ,02/07/2022 ,5,7211.0,7268.0
27176,A19415,11/06/2021 ,02/02/2022 ,02/07/2022 ,5,7115.0,7190.0
27769,A17008,11/11/2021 ,02/02/2022 ,02/02/2022 ,0,5840.0,5840.0
27770,A18520,11/11/2021 ,02/02/2022 ,02/02/2022 ,0,2521.0,2521.0
28158,A19403,11/15/2021 ,02/11/2022 ,02/11/2022 ,0,86401.0,86406.0
28159,A19115,11/15/2021 ,02/11/2022 ,02/11/2022 ,0,9429.0,9495.0
28359,A17553,11/19/2021 ,12/28/2021 ,01/05/2022 ,8,4050.0,4150.0
28360,A20135,11/19/2021 ,12/28/2021 ,01/05/2022 ,8,128.0,200.0
28361,A17841,11/19/2021 ,12/29/2021 ,01/05/2022 ,7,2831.0,2950.0
28362,A17176,11/19/2021 ,12/29/2021 ,01/05/2022 ,7,5445.0,5500.0
28363,A20136,11/19/2021 ,12/28/2021 ,01/05/2022 ,8,282.0,350.0
28364,A18126,11/19/2021 ,12/28/2021 ,01/05/2022 ,8,1119.0,1170.0
28453,d61628,11/19/2021 ,01/07/2022 ,01/07/2022 ,0,0.0,0.0
28454,d51803,11/19/2021 ,01/07/2022 ,01/07/2022 ,0,0.0,
28645,A18144,11/22/2021 ,05/09/2022 ,05/09/2022 ,0,2982.0,3046.0
