,,Pickup Date,count,,,
,,5/31/2022,1,,,
,,5/31/2022,1,,,
,,5/29/2022,1,,,
,,5/29/2022,1,,,
,,5/29/2022,1,,,
,,5/29/2022,1,,,
,,5/28/2022,1,,,
,,5/25/2022,1,,,
,,5/24/2022,1,,,
,,5/24/2022,1,,,
,,5/23/2022,1,,,
,,5/23/2022,1,,,
,,5/23/2022,1,,,
,,5/22/2022,1,,,
,,5/22/2022,1,,,
,,5/22/2022,1,,,
,,5/22/2022,1,,,
,,5/22/2022,1,,,
,,5/22/2022,1,,,
,,5/19/2022,1,,,
,,5/16/2022,1,,,
27056,A19109,12/27/2021,1/2/2022,6,9244,9320
,,5/14/2022,1,,,
,,5/12/2022,1,,,
,,5/12/2022,1,,,
,,5/12/2022,1,,,
,,5/12/2022,1,,,
,,5/10/2022,1,,,
28359,A17553,12/28/2021,1/5/2022,8,4050,4150
28360,A20135,12/28/2021,1/5/2022,8,128,200
28361,A17841,12/29/2021,1/5/2022,7,2831,2950
28362,A17176,12/29/2021,1/5/2022,7,5445,5500
28363,A20136,12/28/2021,1/5/2022,8,282,350
28364,A18126,12/28/2021,1/5/2022,8,1119,1170
,,5/10/2022,1,,,
,,5/10/2022,1,,,
,,5/9/2022,1,,,
,,5/9/2022,1,,,
28660,D58366,12/23/2021,1/15/2022,23,0,0
,,5/9/2022,1,,,
,,5/8/2022,1,,,
,,5/8/2022,1,,,
,,5/8/2022,1,,,
,,5/6/2022,1,,,
,,5/6/2022,1,,,
,,5/4/2022,1,,,
,,5/4/2022,1,,,
,,5/4/2022,1,,,
,,5/3/2022,1,,,
,,5/1/2022,1,,,
,,5/1/2022,1,,,
,,5/1/2022,1,,,
,,5/1/2022,1,,,
,,5/1/2022,1,,,
29616,421xpn,12/28/2021,1/4/2022,8,26000,26000
29700,A19413,12/29/2021,1/2/2022,5,6980,7145
29709,A17842,12/31/2021,1/2/2022,2,4237,4261
29710,A19225,12/31/2021,1/2/2022,2,9962,9962
,,5/1/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/30/2022,1,,,
,,4/29/2022,1,,,
,,4/29/2022,1,,,
,,4/28/2022,1,,,
,,4/28/2022,1,,,
,,4/27/2022,1,,,
,,4/27/2022,1,,,
30411,A17494,12/13/2021,1/12/2022,30,4588,4753
,,4/27/2022,1,,,
,,4/26/2022,1,,,
,,4/26/2022,1,,,
,,4/25/2022,1,,,
,,4/25/2022,1,,,
,,4/25/2022,1,,,
,,4/25/2022,1,,,
,,4/24/2022,1,,,
,,4/24/2022,1,,,
,,4/24/2022,1,,,
,,4/22/2022,1,,,
,,4/22/2022,1,,,
,,4/22/2022,1,,,
,,4/21/2022,1,,,
,,4/21/2022,1,,,
,,4/20/2022,1,,,
,,4/20/2022,1,,,
,,4/20/2022,1,,,
,,4/19/2022,1,,,
,,4/19/2022,1,,,
,,4/19/2022,1,,,
,,4/19/2022,1,,,
,,4/19/2022,1,,,
,,4/17/2022,1,,,
,,4/17/2022,1,,,
,,4/17/2022,1,,,
,,4/17/2022,1,,,
,,4/13/2022,1,,,
,,4/13/2022,1,,,
,,4/13/2022,1,,,
,,4/13/2022,1,,,
,,4/12/2022,1,,,
,,4/12/2022,1,,,
31322,D 56948,12/23/2021,1/2/2022,10,0,0
,,4/11/2022,1,,,
,,4/11/2022,1,,,
,,4/11/2022,1,,,
